segment,customers,revenue,avg_recency,avg_frequency,avg_order_value,avg_repurchase_probability,predicted_90d_revenue
At Risk,236,165696.2,197.42372881355934,3.0338983050847457,238.00357243744955,0.18584745762711863,74335.49
High Value,268,702852.06,39.54477611940298,7.981343283582089,349.82328237589525,0.9518955223880597,421249.37
New/Occasional,438,273331.63,53.30821917808219,3.3447488584474887,201.62206773211568,0.8064200913242009,169641.42
Regular,546,749325.5,48.07692307692308,5.824175824175824,251.80531311413452,0.9181245421245421,460476.75
